datetime,HourlyDryBulbTemperature,HourlyWetBulbTemperature,HourlyPrecipitation,HourlyRelativeHumidity,HourlySkyConditions,EnergyProduced(Wh)
2021-07-01 00:15:00,77.0,74.0,,83.0,CLR:00,0.0
2021-07-01 01:15:00,77.0,74.0,,83.0,CLR:00,0.0
2021-07-01 02:15:00,73.0,72.0,,94.0,CLR:00,0.0
2021-07-01 03:15:00,73.0,72.0,,94.0,BKN:07 110,0.0
2021-07-01 04:15:00,73.0,72.0,,94.0,SCT:04 110,0.0
2021-07-01 05:15:00,73.0,72.0,,94.0,CLR:00,0.0
2021-07-01 06:15:00,75.0,74.0,,94.0,CLR:00,8.0
2021-07-01 07:15:00,79.0,75.0,,84.0,CLR:00,63.0
2021-07-01 08:15:00,81.0,75.0,,79.0,CLR:00,92.0
2021-07-01 09:15:00,84.0,76.0,,70.0,CLR:00,271.0
2021-07-01 10:15:00,86.0,77.0,,66.0,SCT:04 30,766.0
2021-07-01 11:15:00,88.0,77.0,,62.0,BKN:07 36,1144.0
2021-07-01 12:15:00,88.0,77.0,,59.0,SCT:04 39,1477.0
2021-07-01 13:15:00,88.0,77.0,,59.0,SCT:04 43,1700.0
2021-07-01 14:15:00,90.0,77.0,,55.0,SCT:04 45 SCT:04 50,1656.0
2021-07-01 15:15:00,90.0,77.0,,55.0,CLR:00,1783.0
2021-07-01 16:15:00,90.0,76.0,,52.0,CLR:00,1820.0
2021-07-01 17:15:00,88.0,76.0,,55.0,SCT:04 50,656.0
2021-07-01 18:15:00,86.0,76.0,,62.0,CLR:00,811.0
2021-07-01 19:15:00,82.0,75.0,,70.0,BKN:07 49 BKN:07 60,214.0
2021-07-01 20:15:00,81.0,75.0,,74.0,CLR:00,4.0
2021-07-01 21:15:00,81.0,75.0,,74.0,SCT:04 26 SCT:04 32 BKN:07 70,0.0
2021-07-01 22:15:00,73.0,71.0,,89.0,SCT:04 50 SCT:04 70 BKN:07 110,0.0
2021-07-01 23:15:00,73.0,71.0,,89.0,CLR:00,0.0
2021-07-02 00:15:00,73.0,71.0,,89.0,CLR:00,0.0
2021-07-02 01:15:00,73.0,72.0,,94.0,OVC:08 23,0.0
2021-07-02 02:15:00,73.0,72.0,,94.0,BKN:07 12 BKN:07 17 OVC:08 23,0.0
2021-07-02 03:15:00,73.0,72.0,,94.0,OVC:08 11,0.0
2021-07-02 04:15:00,75.0,73.0,,89.0,OVC:08 11,0.0
2021-07-02 05:15:00,73.0,72.0,,94.0,OVC:08 11,0.0
2021-07-02 06:15:00,75.0,73.0,,89.0,OVC:08 11,0.0
2021-07-02 07:15:00,73.0,72.0,0.01,94.0,BKN:07 11 SCT:04 16 OVC:08 23,34.0
2021-07-02 08:15:00,66.0,65.0,0.1,94.0,SCT:04 14 SCT:04 26 OVC:08 40,2.0
2021-07-02 09:15:00,68.0,66.0,0.01,88.0,SCT:04 47 SCT:04 60 OVC:08 90,120.0
2021-07-02 10:15:00,70.0,67.0,,88.0,SCT:04 95,591.0
2021-07-02 11:15:00,72.0,69.0,,88.0,SCT:04 90,421.0
2021-07-02 12:15:00,72.0,71.0,,94.0,SCT:04 34 BKN:07 55 OVC:08 70,345.0
2021-07-02 13:15:00,73.0,71.0,,89.0,SCT:04 8 SCT:04 27 BKN:07 48,848.0
2021-07-02 14:15:00,73.0,72.0,,94.0,OVC:08 13,302.0
