Date/Time,Energy Produced (Wh)
07/01/2021 00:00,0
07/01/2021 00:15,0
07/01/2021 00:30,0
07/01/2021 00:45,0
07/01/2021 01:00,0
07/01/2021 01:15,0
07/01/2021 01:30,0
07/01/2021 01:45,0
07/01/2021 02:00,0
07/01/2021 02:15,0
07/01/2021 02:30,0
07/01/2021 02:45,0
07/01/2021 03:00,0
07/01/2021 03:15,0
07/01/2021 03:30,0
07/01/2021 03:45,0
07/01/2021 04:00,0
07/01/2021 04:15,0
07/01/2021 04:30,0
07/01/2021 04:45,0
07/01/2021 05:00,0
07/01/2021 05:15,0
07/01/2021 05:30,0
07/01/2021 05:45,0
07/01/2021 06:00,0
07/01/2021 06:15,8
07/01/2021 06:30,22
07/01/2021 06:45,40
07/01/2021 07:00,52
07/01/2021 07:15,63
07/01/2021 07:30,72
07/01/2021 07:45,80
07/01/2021 08:00,86
07/01/2021 08:15,92
07/01/2021 08:30,99
07/01/2021 08:45,120
07/01/2021 09:00,176
07/01/2021 09:15,271
07/01/2021 09:30,370
07/01/2021 09:45,526
07/01/2021 10:00,651
07/01/2021 10:15,766
07/01/2021 10:30,862
07/01/2021 10:45,1067
07/01/2021 11:00,954
07/01/2021 11:15,1144
07/01/2021 11:30,1335
07/01/2021 11:45,1326
07/01/2021 12:00,1113
07/01/2021 12:15,1477
07/01/2021 12:30,1624
07/01/2021 12:45,1447
07/01/2021 13:00,1472
07/01/2021 13:15,1700
07/01/2021 13:30,1639
07/01/2021 13:45,1435
07/01/2021 14:00,1436
07/01/2021 14:15,1656
07/01/2021 14:30,1710
07/01/2021 14:45,1657
07/01/2021 15:00,1735
07/01/2021 15:15,1783
07/01/2021 15:30,1825
07/01/2021 15:45,1825
07/01/2021 16:00,1767
07/01/2021 16:15,1820
07/01/2021 16:30,1783
07/01/2021 16:45,1531
07/01/2021 17:00,995
07/01/2021 17:15,656
07/01/2021 17:30,678
07/01/2021 17:45,762
07/01/2021 18:00,774
07/01/2021 18:15,811
07/01/2021 18:30,919
07/01/2021 18:45,837
07/01/2021 19:00,482
07/01/2021 19:15,214
07/01/2021 19:30,144
07/01/2021 19:45,83
07/01/2021 20:00,27
07/01/2021 20:15,4
07/01/2021 20:30,0
07/01/2021 20:45,0
07/01/2021 21:00,0
07/01/2021 21:15,0
07/01/2021 21:30,0
07/01/2021 21:45,0
07/01/2021 22:00,0
07/01/2021 22:15,0
07/01/2021 22:30,0
07/01/2021 22:45,0
07/01/2021 23:00,0
07/01/2021 23:15,0
07/01/2021 23:30,0
07/01/2021 23:45,0
07/02/2021 00:00,0
07/02/2021 00:15,0
07/02/2021 00:30,0
07/02/2021 00:45,0
07/02/2021 01:00,0
07/02/2021 01:15,0
07/02/2021 01:30,0
07/02/2021 01:45,0
07/02/2021 02:00,0
07/02/2021 02:15,0
07/02/2021 02:30,0
07/02/2021 02:45,0
07/02/2021 03:00,0
07/02/2021 03:15,0
07/02/2021 03:30,0
07/02/2021 03:45,0
07/02/2021 04:00,0
07/02/2021 04:15,0
07/02/2021 04:30,0
07/02/2021 04:45,0
07/02/2021 05:00,0
07/02/2021 05:15,0
07/02/2021 05:30,0
07/02/2021 05:45,0
07/02/2021 06:00,0
07/02/2021 06:15,0
07/02/2021 06:30,0
07/02/2021 06:45,5
07/02/2021 07:00,9
07/02/2021 07:15,34
07/02/2021 07:30,43
07/02/2021 07:45,15
07/02/2021 08:00,5
07/02/2021 08:15,2
07/02/2021 08:30,14
07/02/2021 08:45,46
07/02/2021 09:00,90
07/02/2021 09:15,120
07/02/2021 09:30,120
07/02/2021 09:45,200
07/02/2021 10:00,371
07/02/2021 10:15,591
07/02/2021 10:30,440
07/02/2021 10:45,443
07/02/2021 11:00,470
07/02/2021 11:15,421
07/02/2021 11:30,469
07/02/2021 11:45,560
07/02/2021 12:00,440
07/02/2021 12:15,345
07/02/2021 12:30,312
07/02/2021 12:45,257
07/02/2021 13:00,632
07/02/2021 13:15,848
07/02/2021 13:30,738
07/02/2021 13:45,580
07/02/2021 14:00,634
07/02/2021 14:15,302
07/02/2021 14:30,256
07/02/2021 14:45,262
07/02/2021 15:00,391
07/02/2021 15:15,422
07/02/2021 15:30,340
07/02/2021 15:45,289
07/02/2021 16:00,357
07/02/2021 16:15,407
07/02/2021 16:30,433
07/02/2021 16:45,537
07/02/2021 17:00,602
07/02/2021 17:15,538
07/02/2021 17:30,480
07/02/2021 17:45,447
07/02/2021 18:00,459
07/02/2021 18:15,491
07/02/2021 18:30,436
07/02/2021 18:45,302
07/02/2021 19:00,170
07/02/2021 19:15,157
07/02/2021 19:30,116
07/02/2021 19:45,193
07/02/2021 20:00,91
07/02/2021 20:15,15
07/02/2021 20:30,0
07/02/2021 20:45,0
07/02/2021 21:00,0
07/02/2021 21:15,0
07/02/2021 21:30,0
07/02/2021 21:45,0
07/02/2021 22:00,0
07/02/2021 22:15,0
07/02/2021 22:30,0
07/02/2021 22:45,0
07/02/2021 23:00,0
07/02/2021 23:15,0
07/02/2021 23:30,0
07/02/2021 23:45,0
07/03/2021 00:00,0
07/03/2021 00:15,0
07/03/2021 00:30,0
07/03/2021 00:45,0
07/03/2021 01:00,0
07/03/2021 01:15,0
07/03/2021 01:30,0
07/03/2021 01:45,0
07/03/2021 02:00,0
07/03/2021 02:15,0
07/03/2021 02:30,0
07/03/2021 02:45,0
07/03/2021 03:00,0
07/03/2021 03:15,0
07/03/2021 03:30,0
07/03/2021 03:45,0
07/03/2021 04:00,0
07/03/2021 04:15,0
07/03/2021 04:30,0
07/03/2021 04:45,0
07/03/2021 05:00,0
07/03/2021 05:15,0
07/03/2021 05:30,0
07/03/2021 05:45,0
07/03/2021 06:00,0
07/03/2021 06:15,1
07/03/2021 06:30,16
07/03/2021 06:45,58
07/03/2021 07:00,74
07/03/2021 07:15,73
07/03/2021 07:30,78
07/03/2021 07:45,85
07/03/2021 08:00,96
07/03/2021 08:15,114
07/03/2021 08:30,108
07/03/2021 08:45,128
07/03/2021 09:00,184
07/03/2021 09:15,280
07/03/2021 09:30,405
07/03/2021 09:45,556
07/03/2021 10:00,661
07/03/2021 10:15,816
07/03/2021 10:30,884
07/03/2021 10:45,1046
07/03/2021 11:00,1140
07/03/2021 11:15,1293
07/03/2021 11:30,1379
07/03/2021 11:45,1440
